LOCATION,Country,Time,Value
MEX,Mexico,Mar-19,37.53122
MEX,Mexico,Apr-19,38.07687
MEX,Mexico,May-19,40.79474
MEX,Mexico,Jun-19,35.38825
MEX,Mexico,Jul-19,40.4173
MEX,Mexico,Aug-19,39.65511
MEX,Mexico,Sep-19,37.3381
MEX,Mexico,Oct-19,41.45627
MEX,Mexico,Nov-19,36.70537
MEX,Mexico,Dec-19,35.59497
MEX,Mexico,Jan-20,36.06889
MEX,Mexico,Feb-20,33.72376
MEX,Mexico,Mar-20,35.00716
MEX,Mexico,Apr-20,26.4722
MEX,Mexico,May-20,21.59239
MEX,Mexico,Jun-20,27.52981
MEX,Mexico,Jul-20,29.86367
MEX,Mexico,Aug-20,30.86329
MEX,Mexico,Sep-20,34.16262
TUR,Turkey,Jan-19,16.16488
TUR,Turkey,Feb-19,16.05651
TUR,Turkey,Mar-19,18.25048
TUR,Turkey,Apr-19,18.07315
TUR,Turkey,May-19,18.54235
TUR,Turkey,Jun-19,15.06448
TUR,Turkey,Jul-19,19.22915
TUR,Turkey,Aug-19,15.56371
TUR,Turkey,Sep-19,16.94064
TUR,Turkey,Oct-19,18.17646
TUR,Turkey,Nov-19,18.22839
TUR,Turkey,Dec-19,20.05501
TUR,Turkey,Jan-20,19.20487
TUR,Turkey,Feb-20,17.63334
TUR,Turkey,Mar-20,18.81064
TUR,Turkey,Apr-20,13.55239
TUR,Turkey,May-20,13.38769
TUR,Turkey,Jun-20,16.30963
TUR,Turkey,Jul-20,17.70772
TUR,Turkey,Aug-20,18.74321
TUR,Turkey,Sep-20,20.83692
GBR,United Kingdom,Jan-19,55.3468
GBR,United Kingdom,Feb-19,52.60757
GBR,United Kingdom,Mar-19,60.6875
GBR,United Kingdom,Apr-19,48.96508
GBR,United Kingdom,May-19,50.8995
GBR,United Kingdom,Jun-19,48.42756
GBR,United Kingdom,Jul-19,51.7856
GBR,United Kingdom,Aug-19,47.45592
GBR,United Kingdom,Sep-19,51.7909
GBR,United Kingdom,Oct-19,58.68186
GBR,United Kingdom,Nov-19,50.10225
GBR,United Kingdom,Dec-19,45.76674
GBR,United Kingdom,Jan-20,49.22772
GBR,United Kingdom,Feb-20,45.51913
GBR,United Kingdom,Mar-20,45.68861
GBR,United Kingdom,Apr-20,32.15838
GBR,United Kingdom,May-20,31.04213
GBR,United Kingdom,Jun-20,39.72636
GBR,United Kingdom,Jul-20,43.76748
GBR,United Kingdom,Aug-20,41.63608
GBR,United Kingdom,Sep-20,51.36327
USA,United States,Jan-19,204.587
USA,United States,Feb-19,185.694
USA,United States,Mar-19,207.969
USA,United States,Apr-19,209.174
USA,United States,May-19,220.591
USA,United States,Jun-19,207.167
USA,United States,Jul-19,218.799
USA,United States,Aug-19,215.647
USA,United States,Sep-19,206.725
USA,United States,Oct-19,219.414
USA,United States,Nov-19,199.476
USA,United States,Dec-19,202.289
USA,United States,Jan-20,196.397
USA,United States,Feb-20,178.285
USA,United States,Mar-20,194.382
USA,United States,Apr-20,165.452
USA,United States,May-20,163.931
USA,United States,Jun-20,179.709
USA,United States,Jul-20,200.839
USA,United States,Aug-20,203.459
USA,United States,Sep-20,206.399
BRA,Brazil,Jan-19,16.38783
BRA,Brazil,Feb-19,12.62176
BRA,Brazil,Mar-19,13.133
BRA,Brazil,Apr-19,13.62862
BRA,Brazil,May-19,14.96805
BRA,Brazil,Jun-19,13.02863
BRA,Brazil,Jul-19,17.75948
BRA,Brazil,Aug-19,15.56992
BRA,Brazil,Sep-19,16.49517
BRA,Brazil,Oct-19,17.02728
BRA,Brazil,Nov-19,14.1721
BRA,Brazil,Dec-19,12.55609
BRA,Brazil,Jan-20,16.17685
BRA,Brazil,Feb-20,13.25714
BRA,Brazil,Mar-20,14.51563
BRA,Brazil,Apr-20,11.61095
BRA,Brazil,May-20,13.39109
BRA,Brazil,Jun-20,10.44879
BRA,Brazil,Jul-20,11.50668
BRA,Brazil,Aug-20,11.13268
BRA,Brazil,Sep-20,12.29637
BRA,Brazil,Oct-20,12.38282
CHL,Chile,Jan-19,5.649649
CHL,Chile,Feb-19,5.273271
CHL,Chile,Mar-19,5.525728
CHL,Chile,Apr-19,5.3474
CHL,Chile,May-19,6.014709
CHL,Chile,Jun-19,4.934863
CHL,Chile,Jul-19,5.819702
CHL,Chile,Aug-19,5.823237
CHL,Chile,Sep-19,5.236357
CHL,Chile,Oct-19,5.584111
CHL,Chile,Nov-19,5.302563
CHL,Chile,Dec-19,5.211989
CHL,Chile,Jan-20,5.454999
CHL,Chile,Feb-20,4.246158
CHL,Chile,Mar-20,4.387716
CHL,Chile,Apr-20,4.156142
CHL,Chile,May-20,3.77886
CHL,Chile,Jun-20,3.929062
CHL,Chile,Jul-20,4.667921
CHL,Chile,Aug-20,4.516924
CHL,Chile,Sep-20,4.57678
CHL,Chile,Oct-20,4.774518
CHN,China (People's Republic of),Jan-19,178.39
CHN,China (People's Republic of),Feb-19,131.12
CHN,China (People's Republic of),Mar-19,165.526
CHN,China (People's Republic of),Apr-19,179.707
CHN,China (People's Republic of),May-19,172.188
CHN,China (People's Republic of),Jun-19,161.8598
CHN,China (People's Republic of),Jul-19,176.9406
CHN,China (People's Republic of),Aug-19,179.9597
CHN,China (People's Republic of),Sep-19,178.4748
CHN,China (People's Republic of),Oct-19,169.8981
CHN,China (People's Republic of),Nov-19,183.411
CHN,China (People's Republic of),Dec-19,191.0573
CHN,China (People's Republic of),Jan-20,156.84
CHN,China (People's Republic of),Feb-20,142.7
CHN,China (People's Republic of),Mar-20,165.2131
CHN,China (People's Republic of),Apr-20,154.9006
CHN,China (People's Republic of),May-20,143.8867
CHN,China (People's Republic of),Jun-20,167.153
CHN,China (People's Republic of),Jul-20,175.3019
CHN,China (People's Republic of),Aug-20,176.3338
CHN,China (People's Republic of),Sep-20,202.759
CHN,China (People's Republic of),Oct-20,178.7394
COL,Colombia,Jan-19,4.3022
COL,Colombia,Feb-19,3.9513
COL,Colombia,Mar-19,4.3011
COL,Colombia,Apr-19,4.5285
COL,Colombia,May-19,4.7889
COL,Colombia,Jun-19,3.9832
COL,Colombia,Jul-19,4.565
COL,Colombia,Aug-19,4.9131
COL,Colombia,Sep-19,4.2004
COL,Colombia,Oct-19,4.3333
COL,Colombia,Nov-19,4.7573
COL,Colombia,Dec-19,4.0784
COL,Colombia,Jan-20,4.3296
COL,Colombia,Feb-20,3.9684
COL,Colombia,Mar-20,3.5877
COL,Colombia,Apr-20,3.0968
COL,Colombia,May-20,2.8773
COL,Colombia,Jun-20,2.8987
COL,Colombia,Jul-20,3.6461
COL,Colombia,Aug-20,3.5712
COL,Colombia,Sep-20,3.4758
CRI,Costa Rica,Jan-19,1.481911
CRI,Costa Rica,Feb-19,1.294228
CRI,Costa Rica,Mar-19,1.646416
CRI,Costa Rica,Apr-19,1.481665
CRI,Costa Rica,May-19,1.520219
CRI,Costa Rica,Jun-19,1.335916
CRI,Costa Rica,Jul-19,1.490655
CRI,Costa Rica,Aug-19,1.444398
CRI,Costa Rica,Sep-19,1.352865
CRI,Costa Rica,Oct-19,1.586025
CRI,Costa Rica,Nov-19,1.519602
CRI,Costa Rica,Dec-19,1.419231
CRI,Costa Rica,Jan-20,1.383868
CRI,Costa Rica,Feb-20,1.331732
CRI,Costa Rica,Mar-20,1.325634
CRI,Costa Rica,Apr-20,1.120443
CRI,Costa Rica,May-20,1.049862
CRI,Costa Rica,Jun-20,1.224093
CRI,Costa Rica,Jul-20,1.195467
CRI,Costa Rica,Aug-20,1.221834
CRI,Costa Rica,Sep-20,1.206021
IND,India,Jan-19,41.45521
IND,India,Feb-19,36.59113
IND,India,Mar-19,43.69044
IND,India,Apr-19,42.38726
IND,India,May-19,46.68335
IND,India,Jun-19,41.03249
IND,India,Jul-19,40.43065
IND,India,Aug-19,39.85208
IND,India,Sep-19,37.69482
IND,India,Oct-19,37.98637
IND,India,Nov-19,38.52325
IND,India,Dec-19,39.5941
IND,India,Jan-20,41.14949
IND,India,Feb-20,37.90447
IND,India,Mar-20,31.47092
IND,India,Apr-20,17.1256
IND,India,May-20,22.20537
IND,India,Jun-20,21.07022
IND,India,Jul-20,28.47236
IND,India,Aug-20,29.47343
IND,India,Sep-20,30.31
IND,India,Oct-20,33.61
IDN,Indonesia,Jan-19,15.00519
IDN,Indonesia,Feb-19,12.46507
IDN,Indonesia,Mar-19,13.74662
IDN,Indonesia,Apr-19,15.39919
IDN,Indonesia,May-19,14.60666
IDN,Indonesia,Jun-19,11.49539
IDN,Indonesia,Jul-19,15.51848
IDN,Indonesia,Aug-19,14.16935
IDN,Indonesia,Sep-19,14.26345
IDN,Indonesia,Oct-19,14.75908
IDN,Indonesia,Nov-19,15.34048
IDN,Indonesia,Dec-19,14.50678
IDN,Indonesia,Jan-20,14.26872
IDN,Indonesia,Feb-20,11.5481
IDN,Indonesia,Mar-20,13.35218
IDN,Indonesia,Apr-20,12.53523
IDN,Indonesia,May-20,8.43863
IDN,Indonesia,Jun-20,10.76032
IDN,Indonesia,Jul-20,10.4643
IDN,Indonesia,Aug-20,10.74241
IDN,Indonesia,Sep-20,11.5701
IDN,Indonesia,Oct-20,10.785
ISR,Israel,Jan-19,6.5271
ISR,Israel,Feb-19,6.1187
ISR,Israel,Mar-19,6.9463
ISR,Israel,Apr-19,6.2471
ISR,Israel,May-19,5.882
ISR,Israel,Jun-19,6.1557
ISR,Israel,Jul-19,7.2075
ISR,Israel,Aug-19,6.1597
ISR,Israel,Sep-19,5.5512
ISR,Israel,Oct-19,6.1245
ISR,Israel,Nov-19,5.6717
ISR,Israel,Dec-19,7.1112
ISR,Israel,Jan-20,6.1947
ISR,Israel,Feb-20,6.031
ISR,Israel,Mar-20,5.9687
ISR,Israel,Apr-20,4.6078
ISR,Israel,May-20,4.756
ISR,Israel,Jun-20,5.5852
ISR,Israel,Jul-20,5.8478
ISR,Israel,Aug-20,5.8374
ISR,Israel,Sep-20,5.387
ISR,Israel,Oct-20,5.7147
RUS,Russia,Jan-19,16.437
RUS,Russia,Feb-19,18.256
RUS,Russia,Mar-19,20.966
RUS,Russia,Apr-19,22.061
RUS,Russia,May-19,19.918
RUS,Russia,Jun-19,20.013
RUS,Russia,Jul-19,22.377
RUS,Russia,Aug-19,21.996
RUS,Russia,Sep-19,21.015
RUS,Russia,Oct-19,23.908
RUS,Russia,Nov-19,23.262
RUS,Russia,Dec-19,24.389
RUS,Russia,Jan-20,17.125
RUS,Russia,Feb-20,18.48
RUS,Russia,Mar-20,20.474
RUS,Russia,Apr-20,17.663
RUS,Russia,May-20,17.298
RUS,Russia,Jun-20,19.155
RUS,Russia,Jul-20,19.707
RUS,Russia,Aug-20,19.952
RUS,Russia,Sep-20,20.454
ZAF,South Africa,Jan-19,7.337233
ZAF,South Africa,Feb-19,6.82905
ZAF,South Africa,Mar-19,6.979735
ZAF,South Africa,Apr-19,7.571165
ZAF,South Africa,May-19,7.625491
ZAF,South Africa,Jun-19,7.115999
ZAF,South Africa,Jul-19,8.278609
ZAF,South Africa,Aug-19,7.608095
ZAF,South Africa,Sep-19,7.120442
ZAF,South Africa,Oct-19,8.056269
ZAF,South Africa,Nov-19,7.476983
ZAF,South Africa,Dec-19,6.163125
ZAF,South Africa,Jan-20,7.196623
ZAF,South Africa,Feb-20,6.357306
ZAF,South Africa,Mar-20,5.667138
ZAF,South Africa,Apr-20,4.730353
ZAF,South Africa,May-20,4.736653
ZAF,South Africa,Jun-20,4.067742
ZAF,South Africa,Jul-20,5.069789
ZAF,South Africa,Aug-20,5.294452
ZAF,South Africa,Sep-20,6.116654
AUT,Austria,Jan-19,15.80859
AUT,Austria,Feb-19,15.72615
AUT,Austria,Mar-19,16.58633
AUT,Austria,Apr-19,15.90812
AUT,Austria,May-19,15.98664
AUT,Austria,Jun-19,14.4453
AUT,Austria,Jul-19,16.78041
AUT,Austria,Aug-19,13.36373
AUT,Austria,Sep-19,15.09672
AUT,Austria,Oct-19,16.69336
AUT,Austria,Nov-19,15.22001
AUT,Austria,Dec-19,13.13158
AUT,Austria,Jan-20,14.608
AUT,Austria,Feb-20,14.17555
AUT,Austria,Mar-20,14.99938
AUT,Austria,Apr-20,11.34947
AUT,Austria,May-20,11.73158
AUT,Austria,Jun-20,13.76797
AUT,Austria,Jul-20,14.63385
AUT,Austria,Aug-20,13.54473
AUT,Austria,Sep-20,15.95949
NLD,Netherlands,Jan-19,54.17924
NLD,Netherlands,Feb-19,49.85812
